SVM,nonSVM,RFR,RFC
0.640000,0.791111,0.791111,0.924444
0.577778,0.702222,0.862222,0.888889
0.608889,0.791111,0.871111,0.920000
0.662222,0.782222,0.831111,0.875556
0.604444,0.733333,0.777778,0.888889
0.582222,0.768889,0.760000,0.884444
0.635556,0.795556,0.804444,0.906667
0.617778,0.760000,0.808889,0.888889
0.640000,0.795556,0.831111,0.906667
0.613333,0.737778,0.853333,0.915556
0.613333,0.733333,0.782222,0.880000
0.595556,0.733333,0.813333,0.897778
0.626667,0.755556,0.826667,0.888889
0.604444,0.800000,0.782222,0.928889
0.626667,0.697778,0.826667,0.920000
0.657778,0.773333,0.786667,0.884444
0.604444,0.795556,0.804444,0.924444
0.631111,0.777778,0.800000,0.848889
0.662222,0.746667,0.835556,0.911111
0.626667,0.782222,0.831111,0.884444
0.662222,0.773333,0.822222,0.888889
0.680000,0.782222,0.826667,0.880000
0.586667,0.760000,0.835556,0.893333
0.582222,0.751111,0.840000,0.884444
0.573333,0.737778,0.822222,0.902222
0.622222,0.768889,0.791111,0.897778
0.626667,0.751111,0.840000,0.871111
0.640000,0.764444,0.822222,0.862222
0.595556,0.804444,0.795556,0.915556
0.622222,0.746667,0.831111,0.915556
0.622222,0.773333,0.826667,0.875556
0.613333,0.751111,0.777778,0.862222
0.595556,0.800000,0.822222,0.884444
0.617778,0.791111,0.848889,0.924444
0.635556,0.764444,0.826667,0.893333
0.604444,0.733333,0.777778,0.920000
0.622222,0.742222,0.831111,0.911111
0.671111,0.715556,0.835556,0.897778
0.604444,0.777778,0.831111,0.933333
0.635556,0.786667,0.831111,0.884444
0.608889,0.742222,0.831111,0.897778
0.635556,0.760000,0.813333,0.928889
0.671111,0.746667,0.817778,0.880000
0.648889,0.777778,0.760000,0.875556
0.635556,0.826667,0.813333,0.915556
0.577778,0.791111,0.777778,0.906667
0.600000,0.746667,0.813333,0.893333
0.595556,0.742222,0.862222,0.880000
0.600000,0.786667,0.831111,0.888889
0.635556,0.760000,0.804444,0.937778
0.657778,0.751111,0.804444,0.857778
0.582222,0.711111,0.840000,0.906667
0.586667,0.786667,0.848889,0.893333
0.631111,0.760000,0.808889,0.880000
0.613333,0.782222,0.831111,0.915556
0.662222,0.804444,0.800000,0.848889
0.600000,0.795556,0.817778,0.915556
0.617778,0.737778,0.800000,0.933333
0.644444,0.804444,0.786667,0.875556
0.586667,0.746667,0.795556,0.880000
0.617778,0.791111,0.826667,0.902222
0.631111,0.720000,0.800000,0.884444
0.662222,0.720000,0.831111,0.884444
0.671111,0.720000,0.817778,0.897778
0.564444,0.777778,0.817778,0.893333
0.591111,0.742222,0.813333,0.902222
0.622222,0.751111,0.808889,0.928889
0.631111,0.795556,0.835556,0.897778
0.591111,0.768889,0.826667,0.875556
0.600000,0.786667,0.795556,0.866667
0.591111,0.742222,0.844444,0.875556
0.608889,0.751111,0.813333,0.924444
0.626667,0.746667,0.804444,0.911111
0.613333,0.831111,0.866667,0.866667
0.568889,0.733333,0.795556,0.893333
0.622222,0.795556,0.764444,0.884444
0.631111,0.733333,0.795556,0.888889
0.671111,0.791111,0.800000,0.893333
0.622222,0.724444,0.813333,0.906667
0.591111,0.768889,0.822222,0.880000
0.604444,0.737778,0.746667,0.902222
0.600000,0.760000,0.848889,0.897778
0.644444,0.791111,0.808889,0.853333
0.648889,0.751111,0.822222,0.884444
0.568889,0.728889,0.786667,0.893333
0.573333,0.742222,0.808889,0.866667
0.640000,0.791111,0.795556,0.902222
0.626667,0.773333,0.822222,0.880000
0.631111,0.755556,0.840000,0.915556
0.662222,0.808889,0.777778,0.906667
0.680000,0.782222,0.826667,0.848889
0.635556,0.746667,0.831111,0.906667
0.586667,0.742222,0.800000,0.893333
0.697778,0.786667,0.826667,0.875556
0.600000,0.755556,0.755556,0.862222
0.564444,0.764444,0.791111,0.906667
0.568889,0.831111,0.808889,0.866667
0.577778,0.773333,0.826667,0.893333
0.613333,0.751111,0.840000,0.933333
0.648889,0.728889,0.760000,0.888889
