SVM,nonSVM,RFR,RFC
0.586667,0.706667,0.782222,0.888889
0.608889,0.720000,0.808889,0.844444
0.600000,0.724444,0.795556,0.884444
0.648889,0.706667,0.804444,0.862222
0.600000,0.711111,0.773333,0.871111
0.564444,0.706667,0.786667,0.853333
0.608889,0.737778,0.822222,0.915556
0.617778,0.711111,0.782222,0.813333
0.635556,0.720000,0.813333,0.871111
0.600000,0.755556,0.786667,0.888889
0.613333,0.715556,0.826667,0.857778
0.600000,0.737778,0.764444,0.880000
0.595556,0.751111,0.826667,0.902222
0.613333,0.773333,0.760000,0.893333
0.631111,0.746667,0.813333,0.902222
0.648889,0.715556,0.817778,0.875556
0.591111,0.706667,0.773333,0.844444
0.613333,0.724444,0.795556,0.893333
0.608889,0.653333,0.804444,0.848889
0.604444,0.777778,0.782222,0.871111
0.657778,0.751111,0.826667,0.848889
0.635556,0.724444,0.840000,0.848889
0.595556,0.742222,0.808889,0.880000
0.546667,0.755556,0.804444,0.848889
0.613333,0.742222,0.751111,0.826667
0.608889,0.720000,0.813333,0.835556
0.626667,0.688889,0.791111,0.928889
0.617778,0.746667,0.795556,0.902222
0.586667,0.720000,0.764444,0.857778
0.617778,0.688889,0.755556,0.844444
0.608889,0.724444,0.853333,0.888889
0.568889,0.684444,0.848889,0.911111
0.577778,0.711111,0.800000,0.911111
0.631111,0.724444,0.777778,0.862222
0.644444,0.715556,0.760000,0.862222
0.595556,0.773333,0.777778,0.862222
0.626667,0.733333,0.737778,0.853333
0.622222,0.751111,0.755556,0.835556
0.600000,0.728889,0.822222,0.857778
0.613333,0.755556,0.782222,0.880000
0.631111,0.760000,0.733333,0.848889
0.626667,0.786667,0.800000,0.866667
0.675556,0.711111,0.791111,0.848889
0.608889,0.728889,0.817778,0.862222
0.640000,0.728889,0.817778,0.866667
0.546667,0.702222,0.773333,0.862222
0.582222,0.733333,0.826667,0.915556
0.568889,0.706667,0.813333,0.888889
0.591111,0.742222,0.800000,0.840000
0.635556,0.680000,0.844444,0.853333
0.644444,0.671111,0.817778,0.826667
0.600000,0.724444,0.804444,0.875556
0.582222,0.751111,0.804444,0.844444
0.617778,0.755556,0.791111,0.880000
0.600000,0.755556,0.795556,0.853333
0.631111,0.720000,0.755556,0.924444
0.573333,0.702222,0.764444,0.835556
0.604444,0.711111,0.795556,0.835556
0.662222,0.751111,0.835556,0.928889
0.622222,0.764444,0.813333,0.871111
0.608889,0.733333,0.817778,0.880000
0.617778,0.711111,0.795556,0.853333
0.644444,0.671111,0.813333,0.911111
0.626667,0.697778,0.777778,0.831111
0.564444,0.746667,0.782222,0.835556
0.577778,0.675556,0.795556,0.866667
0.600000,0.746667,0.768889,0.862222
0.648889,0.755556,0.800000,0.880000
0.577778,0.715556,0.822222,0.848889
0.631111,0.742222,0.768889,0.840000
0.582222,0.697778,0.795556,0.871111
0.604444,0.786667,0.826667,0.862222
0.648889,0.760000,0.786667,0.871111
0.582222,0.751111,0.773333,0.893333
0.568889,0.684444,0.817778,0.888889
0.608889,0.702222,0.764444,0.897778
0.622222,0.746667,0.844444,0.871111
0.640000,0.684444,0.768889,0.844444
0.653333,0.688889,0.786667,0.880000
0.582222,0.777778,0.795556,0.884444
0.644444,0.711111,0.808889,0.906667
0.564444,0.728889,0.813333,0.871111
0.648889,0.746667,0.768889,0.862222
0.586667,0.706667,0.773333,0.831111
0.560000,0.733333,0.795556,0.888889
0.577778,0.724444,0.791111,0.871111
0.635556,0.737778,0.791111,0.871111
0.613333,0.711111,0.840000,0.866667
0.613333,0.751111,0.720000,0.893333
0.671111,0.706667,0.826667,0.831111
0.671111,0.706667,0.786667,0.871111
0.582222,0.773333,0.804444,0.866667
0.591111,0.728889,0.831111,0.826667
0.706667,0.733333,0.742222,0.871111
0.560000,0.653333,0.786667,0.862222
0.560000,0.746667,0.760000,0.866667
0.591111,0.715556,0.826667,0.840000
0.617778,0.706667,0.791111,0.840000
0.595556,0.768889,0.826667,0.871111
0.648889,0.737778,0.813333,0.902222
